$created,$email,$first_name,$last_name,Abandon Cart Count,Account Created Count,Gender,Registration Date,$city,$region,Last Event,Last Purchase,Last Search,Last Share
2020-03-08T13:16:23,Anthony.Bryant@comcastx.com,Anthony,Bryant,4.0,6.0,Male,2020-03-07T22:23:22,,,Abandon Cart,2020-03-31T22:19:47,2020-03-31T22:00:36,2020-03-31T21:57:10
2020-03-10T10:58:25,Jessica.Perkins@hotmailx.com,Jessica,Perkins,2.0,6.0,Female,2020-03-13T23:38:28,Eindhoven,North Brabant,Landing Page Loaded,2020-03-19T18:41:03,2020-03-29T20:15:21,2020-03-31T22:31:55
2020-03-06T10:35:14,Chad.Lopez@outlookx.com,Chad,Lopez,3.0,1.0,Female,2020-03-19T17:03:07,Burlington,New Jersey,Search Results,2020-03-29T09:00:19,2020-03-31T23:33:57,2020-03-31T23:34:07
2020-03-03T21:16:43,Annie.Oliver@outlookx.com,Christan,Fancourt,4.0,1.0,Female,2020-03-31T22:04:55,Nagoya,Aichi,Item Detail Page,2020-03-30T00:02:40,2020-03-24T21:06:42,2020-03-29T23:30:55
2020-03-13T10:15:24,Eric.Nguyen@aolx.com,Eric,Nguyen,3.0,4.0,Male,2020-03-12T13:27:03,Pleasanton,California,Item Detail Page,2020-03-31T16:38:38,2020-03-31T16:14:14,2020-03-17T19:48:07
2020-03-07T09:40:46,Paul.Morales@gmailx.com,Paul,Morales,4.0,2.0,Male,2020-03-07T13:30:32,,,Item Detail Page,2020-03-31T19:16:37,2020-03-19T09:53:53,2020-03-31T18:44:06
2020-03-10T21:27:33,Terry.Davis@aolx.com,Terry,Davis,4.0,7.0,Male,2020-03-12T22:50:34,,,Abandon Cart,2020-03-31T10:59:28,2020-03-19T09:51:41,2020-03-19T10:06:13
2020-03-07T19:04:12,Aaron.Harrison@gmailx.com,Aaron,Harrison,3.0,5.0,Female,2020-03-07T10:09:37,,,Share Item,2020-03-29T14:50:44,,2020-03-31T22:48:59
2020-03-03T15:36:37,William.Gardner@yahoox.com,Tisha,Hellin,4.0,6.0,Male,2020-03-07T21:48:53,,,Landing Page Loaded,2020-03-24T11:34:16,2020-03-31T23:25:00,2020-03-20T12:08:15
2020-03-10T20:50:39,Chris.Moreno@gmailx.com,Chris,Moreno,4.0,4.0,Female,2020-03-13T11:17:04,,,Abandon Cart,2020-03-31T10:21:33,2020-03-16T18:37:25,2020-03-31T09:59:09
2020-03-12T02:31:14,Irene.Watson@outlookx.com,Irene,Watson,1.0,3.0,Female,2020-03-31T23:36:00,,,Search Results,2020-03-17T12:24:33,2020-04-01T00:00:30,2020-03-31T23:34:50
2020-03-11T00:11:03,Jesse.Hamilton@comcastx.com,Jesse,Hamilton,3.0,8.0,Male,2020-03-12T12:00:18,Belford Roxo,Rio de Janeiro,Abandon Cart,2020-03-31T23:29:00,2020-03-31T23:09:32,2020-03-16T14:43:49
2020-03-09T05:46:20,Margaret.Allen@gmailx.com,Margaret,Allen,3.0,2.0,Female,2020-03-12T12:22:18,,,Browse,2020-03-29T21:08:12,2020-03-29T20:45:12,2020-04-01T00:04:58
2020-03-09T00:00:42,Ashley.Jackson@comcastx.com,Ashley,Jackson,2.0,1.0,Female,2020-03-13T16:50:09,Caxias do Sul,Rio Grande do Sul,Landing Page Loaded,2020-04-01T01:03:06,2020-04-01T00:23:32,2020-04-01T00:07:41
2020-03-07T23:44:40,Jessica.Armstrong@aolx.com,Jessica,Armstrong,5.0,6.0,Female,2020-03-12T17:48:15,,,Abandon Cart,2020-03-31T18:55:22,2020-03-31T18:14:44,2020-03-31T18:29:36
2020-03-12T14:11:17,Evelyn.Lawrence@aolx.com,Evelyn,Lawrence,4.0,2.0,Female,2020-03-12T16:01:48,,,Share Item,2020-03-17T17:34:20,2020-03-31T23:55:21,2020-03-31T23:46:47
2020-03-06T05:52:48,Alfred.Elliott@outlookx.com,Alfred,Elliott,4.0,6.0,Male,2020-03-19T20:36:10,Hellevoetsluis,South Holland,Abandon Cart,2020-03-31T17:27:30,2020-03-29T13:23:28,2020-03-29T13:33:16
2020-03-10T17:27:00,George.Patterson@hotmailx.com,George,Patterson,2.0,6.0,Female,2020-03-16T23:41:40,,,Item Detail Page,2020-03-31T23:19:40,2020-03-31T22:46:39,2020-03-31T22:49:21
2020-03-07T02:31:57,Antonio.Simpson@yahoox.com,Antonio,Simpson,5.0,6.0,Female,2020-03-07T13:37:19,Mumbai,Maharashtra,Complete Purchase,2020-03-31T23:02:30,2020-03-31T22:18:52,2020-03-31T22:26:15
